lexemeCurrentNode        lineno   tokenName                valueIfNumber    parentNodeSymbol         isLeaf   NodeSymbol              
3.00                     51       TK_RNUM                  3.00             VAR                      yes      TK_RNUM                 
~~~~                     51       ~~~~                     ~~~~             FACTOR                   no       VAR                     
~~~~                     51       ~~~~                     ~~~~             TERM_PRIME               no       FACTOR                  
~~~~                     51       ~~~~                     ~~~~             ASSIGNMENT_STMT          no       ARITHMETIC_EXPRESSION   
;                        51       TK_SEM                   ~~~~             ASSIGNMENT_STMT          yes      TK_SEM                  
~~~~                     51       ~~~~                     ~~~~             OTHER_STMTS              no       STMT                    
~~~~                     53       ~~~~                     ~~~~             OTHER_STMTS              no       OTHER_STMTS             
b3                       54       TK_ID                    ~~~~             SINGLE_OR_REC_ID         yes      TK_ID                   
~~~~                     54       ~~~~                     ~~~~             ASSIGNMENT_STMT          no       SINGLE_OR_REC_ID        
~~~~                     57       ~~~~                     ~~~~             STMT                     no       ASSIGNMENT_STMT         
<---                     54       TK_ASSIGNOP              ~~~~             ASSIGNMENT_STMT          yes      TK_ASSIGNOP             
b3                       54       TK_ID                    ~~~~             SINGLE_OR_REC_ID         yes      TK_ID                   
~~~~                     54       ~~~~                     ~~~~             VAR                      no       SINGLE_OR_REC_ID        
~~~~                     54       ~~~~                     ~~~~             FACTOR                   no       VAR                     
~~~~                     54       ~~~~                     ~~~~             TERM                     no       FACTOR                  
~~~~                     54       ~~~~                     ~~~~             ARITHMETIC_EXPRESSION    no       TERM                    
~~~~                     54       ~~~~                     ~~~~             ASSIGNMENT_STMT          no       ARITHMETIC_EXPRESSION   
+                        54       TK_PLUS                  ~~~~             LOW_PRECEDENCE_OPERATORS yes      TK_PLUS                 
~~~~                     54       ~~~~                     ~~~~             EXP_PRIME                no       LOW_PRECEDENCE_OPERATORS
~~~~                     57       ~~~~                     ~~~~             ARITHMETIC_EXPRESSION    no       EXP_PRIME               
1                        54       TK_NUM                   1                VAR                      yes      TK_NUM                  
~~~~                     54       ~~~~                     ~~~~             FACTOR                   no       VAR                     
~~~~                     54       ~~~~                     ~~~~             TERM                     no       FACTOR                  
~~~~                     56       ~~~~                     ~~~~             EXP_PRIME                no       TERM                    
;                        57       TK_SEM                   ~~~~             ASSIGNMENT_STMT          yes      TK_SEM                  
~~~~                     54       ~~~~                     ~~~~             OTHER_STMTS              no       STMT                    
~~~~                     58       ~~~~                     ~~~~             OTHER_STMTS              no       OTHER_STMTS             
[                        63       TK_SQL                   ~~~~             OUTPUT_PARAMETERS        yes      TK_SQL                  
~~~~                     63       ~~~~                     ~~~~             FUN_CALL_STMT            no       OUTPUT_PARAMETERS       
c2                       63       TK_ID                    ~~~~             ID_LIST                  yes      TK_ID                   
~~~~                     63       ~~~~                     ~~~~             OUTPUT_PARAMETERS        no       ID_LIST                 
]                        63       TK_SQR                   ~~~~             OUTPUT_PARAMETERS        yes      TK_SQR                  
~~~~                     63       ~~~~                     ~~~~             STMT                     no       FUN_CALL_STMT           
[                        63       TK_SQL                   ~~~~             INPUT_PARAMETERS         yes      TK_SQL                  
~~~~                     63       ~~~~                     ~~~~             FUN_CALL_STMT            no       INPUT_PARAMETERS        
d4                       63       TK_ID                    ~~~~             ID_LIST                  yes      TK_ID                   
~~~~                     63       ~~~~                     ~~~~             INPUT_PARAMETERS         no       ID_LIST                 
]                        63       TK_SQR                   ~~~~             INPUT_PARAMETERS         yes      TK_SQR                  
;                        63       TK_SEM                   ~~~~             FUN_CALL_STMT            yes      TK_SEM                  
~~~~                     63       ~~~~                     ~~~~             OTHER_STMTS              no       STMT                    
~~~~                     65       ~~~~                     ~~~~             OTHER_STMTS              no       OTHER_STMTS             
b3                       68       TK_ID                    ~~~~             SINGLE_OR_REC_ID         yes      TK_ID                   
~~~~                     68       ~~~~                     ~~~~             ASSIGNMENT_STMT          no       SINGLE_OR_REC_ID        
~~~~                     68       ~~~~                     ~~~~             STMT                     no       ASSIGNMENT_STMT         
;                        68       TK_SEM                   ~~~~             ASSIGNMENT_STMT          yes      TK_SEM                  
~~~~                     68       ~~~~                     ~~~~             OTHER_STMTS              no       STMT                    
~~~~                     69       ~~~~                     ~~~~             OTHER_STMTS              no       OTHER_STMTS             
c4                       69       TK_ID                    ~~~~             SINGLE_OR_REC_ID         yes      TK_ID                   
~~~~                     69       ~~~~                     ~~~~             ASSIGNMENT_STMT          no       SINGLE_OR_REC_ID        
~~~~                     69       ~~~~                     ~~~~             STMT                     no       ASSIGNMENT_STMT         
;                        69       TK_SEM                   ~~~~             ASSIGNMENT_STMT          yes      TK_SEM                  
~~~~                     69       ~~~~                     ~~~~             OTHER_STMTS              no       STMT                    
~~~~                     71       ~~~~                     ~~~~             OTHER_STMTS              no       OTHER_STMTS             
b3                       72       TK_ID                    ~~~~             SINGLE_OR_REC_ID         yes      TK_ID                   
~~~~                     72       ~~~~                     ~~~~             ASSIGNMENT_STMT          no       SINGLE_OR_REC_ID        
~~~~                     72       ~~~~                     ~~~~             STMT                     no       ASSIGNMENT_STMT         
<---                     72       TK_ASSIGNOP              ~~~~             ASSIGNMENT_STMT          yes      TK_ASSIGNOP             
0                        72       TK_NUM                   0                VAR                      yes      TK_NUM                  
~~~~                     72       ~~~~                     ~~~~             FACTOR                   no       VAR                     
~~~~                     72       ~~~~                     ~~~~             TERM                     no       FACTOR                  
~~~~                     72       ~~~~                     ~~~~             ARITHMETIC_EXPRESSION    no       TERM                    
~~~~                     72       ~~~~                     ~~~~             ASSIGNMENT_STMT          no       ARITHMETIC_EXPRESSION   
;                        72       TK_SEM                   ~~~~             ASSIGNMENT_STMT          yes      TK_SEM                  
~~~~                     72       ~~~~                     ~~~~             OTHER_STMTS              no       STMT                    
~~~~                     73       ~~~~                     ~~~~             OTHER_STMTS              no       OTHER_STMTS             
c4                       73       TK_ID                    ~~~~             SINGLE_OR_REC_ID         yes      TK_ID                   
~~~~                     73       ~~~~                     ~~~~             ASSIGNMENT_STMT          no       SINGLE_OR_REC_ID        
~~~~                     73       ~~~~                     ~~~~             STMT                     no       ASSIGNMENT_STMT         
<---                     73       TK_ASSIGNOP              ~~~~             ASSIGNMENT_STMT          yes      TK_ASSIGNOP             
c2                       73       TK_ID                    ~~~~             SINGLE_OR_REC_ID         yes      TK_ID                   
~~~~                     73       ~~~~                     ~~~~             VAR                      no       SINGLE_OR_REC_ID        
~~~~                     73       ~~~~                     ~~~~             FACTOR                   no       VAR                     
~~~~                     73       ~~~~                     ~~~~             TERM                     no       FACTOR                  
~~~~                     73       ~~~~                     ~~~~             ARITHMETIC_EXPRESSION    no       TERM                    
~~~~                     73       ~~~~                     ~~~~             ASSIGNMENT_STMT          no       ARITHMETIC_EXPRESSION   
;                        73       TK_SEM                   ~~~~             ASSIGNMENT_STMT          yes      TK_SEM                  
~~~~                     73       ~~~~                     ~~~~             OTHER_STMTS              no       STMT                    
~~~~                     75       ~~~~                     ~~~~             OTHER_STMTS              no       OTHER_STMTS             
while                    76       TK_WHILE                 ~~~~             ITERATIVE_STMT           yes      TK_WHILE                
~~~~                     81       ~~~~                     ~~~~             STMT                     no       ITERATIVE_STMT          
c4                       76       TK_ID                    ~~~~             SINGLE_OR_REC_ID         yes      TK_ID                   
~~~~                     76       ~~~~                     ~~~~             VAR                      no       SINGLE_OR_REC_ID        
~~~~                     76       ~~~~                     ~~~~             BOOLEAN_EXPRESSION       no       VAR                     
~~~~                     76       ~~~~                     ~~~~             ITERATIVE_STMT           no       BOOLEAN_EXPRESSION      
>=                       76       TK_GE                    ~~~~             RELATIONAL_OP            yes      TK_GE                   
~~~~                     76       ~~~~                     ~~~~             BOOLEAN_EXPRESSION       no       RELATIONAL_OP           
0                        76       TK_NUM                   0                VAR                      yes      TK_NUM                  
~~~~                     76       ~~~~                     ~~~~             BOOLEAN_EXPRESSION       no       VAR                     
b3                       77       TK_ID                    ~~~~             SINGLE_OR_REC_ID         yes      TK_ID                   
~~~~                     77       ~~~~                     ~~~~             ASSIGNMENT_STMT          no       SINGLE_OR_REC_ID        
~~~~                     77       ~~~~                     ~~~~             STMT                     no       ASSIGNMENT_STMT         
